Fold,Precision,Recall,F1-score,Roc_auc_score
1.0,0.15647921760391198,0.3316062176165803,0.21262458471760798,0.6399913476231937
2.0,0.13164556962025317,0.2694300518134715,0.17687074829931973,0.6090528981198137
3.0,0.13648293963254593,0.2694300518134715,0.18118466898954705,0.610100331907035
4.0,0.116751269035533,0.23834196891191708,0.1567291311754685,0.5931308767037885
5.0,0.14108910891089108,0.29533678756476683,0.19095477386934673,0.6217031139260529
Mean,0.13648962096062703,0.28082901554404144,0.18367278141025803,0.6147957136559767
Std,0.012913610479746082,0.031157090939632974,0.018273767946194213,0.015536562359264773
