Fold,Precision,Recall,F1-score,Roc_auc_score
1.0,0.135,0.13989637305699482,0.13740458015267173,0.5570048975864055
2.0,0.14746543778801843,0.16580310880829016,0.15609756097560976,0.5690604650730063
3.0,0.10880829015544041,0.10880829015544041,0.10880829015544041,0.5415356728347156
4.0,0.17616580310880828,0.17616580310880828,0.17616580310880828,0.5761852661159127
5.0,0.1134020618556701,0.11398963730569948,0.11369509043927649,0.5441244205684438
Mean,0.13616831858158746,0.14093264248704662,0.13843426496636133,0.5575821444356968
Std,0.024477182190634668,0.02690311914144491,0.025402544703630334,0.013540759043385635
