Fold,Precision,Recall,F1-score,Roc_auc_score
1.0,0.17424242424242425,0.23834196891191708,0.20131291028446388,0.602860944054941
2.0,0.19811320754716982,0.21761658031088082,0.2074074074074074,0.5960894513106102
3.0,0.14166666666666666,0.17616580310880828,0.15704387990762123,0.5726706615424335
4.0,0.15196078431372548,0.16062176165803108,0.15617128463476068,0.5673656548487701
5.0,0.12549019607843137,0.16580310880829016,0.14285714285714282,0.5662149336319212
Mean,0.15829465576968355,0.19170984455958548,0.17295852501827919,0.5810403290777352
Std,0.025426713943339733,0.030740719117494975,0.026198768056480144,0.015358748113098513
