Fold,Precision,Recall,F1-score,Roc_auc_score
1.0,0.09295774647887324,0.17098445595854922,0.12043795620437957,0.5614012508731845
2.0,0.11782477341389729,0.20207253886010362,0.14885496183206107,0.5791897932965788
3.0,0.09734513274336283,0.17098445595854922,0.12406015037593986,0.5625983180585803
4.0,0.12345679012345678,0.20725388601036268,0.15473887814313347,0.5823758205867439
5.0,0.10491803278688525,0.16580310880829016,0.12851405622489961,0.5624735388399427
Mean,0.10730049510929507,0.18341968911917098,0.1353212005560827,0.569607744331006
Std,0.01168149054913402,0.017524906243821515,0.013819322159118963,0.00918928629635109
