,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
2289,"(0, 2, 3, 5, 6, 7, 9)",[0.54917765 0.59829874 0.54217694 0.59536242 0.50586178],0.5581755042910126,"('modified_subsystems', 'number_of_authors', 'age', 'purpose', 'experience', 'rexp', 'lines_of_code_deleted')",0.0447694028587662,0.03483211638787902,0.017416058193939505
2290,"(0, 1, 2, 3, 6, 7, 8, 9)",[0.54920363 0.59826052 0.54217694 0.59533337 0.50586178],0.5581672501868884,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'experience', 'rexp', 'lines_of_code_added', 'lines_of_code_deleted')",0.04474839668340249,0.034815772869797236,0.017407886434898615
2291,"(0, 1, 2, 3, 6, 7, 8)",[0.54919752 0.59826358 0.54217694 0.59533032 0.50586178],0.5581660273566479,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'experience', 'rexp', 'lines_of_code_added')",0.04474886757636923,0.03481613924052313,0.017408069620261566
2292,"(0, 1, 2, 3, 5, 6, 7, 8)",[0.54917459 0.59827734 0.54217694 0.59533337 0.50586178],0.5581648045264074,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'purpose', 'experience', 'rexp', 'lines_of_code_added')",0.04475529958758051,0.03482114356376207,0.017410571781881035
2293,"(0, 1, 2, 3, 5, 6, 7, 8, 9)",[0.54917459 0.59827581 0.54217694 0.59533032 0.50586178],0.5581638874037268,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'purpose', 'experience', 'rexp', 'lines_of_code_added', 'lines_of_code_deleted')",0.044754008141947875,0.034820138775185236,0.017410069387592614
2294,"(0, 1, 2, 3, 6, 7)",[0.54916389 0.59827734 0.54217694 0.59533337 0.50586178],0.5581626645734863,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'experience', 'rexp')",0.04475601004157163,0.034821696321103615,0.017410848160551808
2295,"(0, 1, 2, 3, 6, 7, 9)",[0.54916083 0.59826358 0.54217694 0.59533337 0.50586178],0.5581593017903247,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'experience', 'rexp', 'lines_of_code_deleted')",0.04475213964511871,0.03481868502117316,0.01740934251058658
2296,"(0, 1, 2, 3, 4, 6, 7, 9)",[0.54912109 0.59820703 0.54217694 0.59525848 0.50586178],0.5581250625435881,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'number_unique_changes', 'experience', 'rexp', 'lines_of_code_deleted')",0.04471748237531654,0.03479172048784571,0.017395860243922853
2297,"(0, 1, 2, 3, 4, 6, 7)",[0.54911956 0.59820703 0.54217694 0.59525848 0.50586178],0.5581247568360279,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'number_unique_changes', 'experience', 'rexp')",0.044717584069200185,0.03479179960914207,0.01739589980457103
2298,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.54911498 0.59820703 0.54217694 0.59525542 0.50586178],0.5581232282982271,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'number_unique_changes', 'purpose', 'experience', 'rexp', 'lines_of_code_added', 'lines_of_code_deleted')",0.044717050493589976,0.03479138446919,0.017395692234595
2299,"(0, 5, 7)",[0.52665311 0.56960273 0.55971997 0.58213598 0.55189001],0.5580003613507347,"('modified_subsystems', 'purpose', 'rexp')",0.023977386828206954,0.018655221542982152,0.009327610771491074
2300,"(0, 2, 3, 4, 7)",[0.55374339 0.58342148 0.54311241 0.59768427 0.51039417],0.5576711418001424,"('modified_subsystems', 'number_of_authors', 'age', 'number_unique_changes', 'rexp')",0.03951773696395494,0.030746141905364736,0.015373070952682368
2301,"(0, 2, 3, 4, 7, 8, 9)",[0.55374339 0.58335117 0.54311241 0.59768427 0.51039417],0.5576570792523756,"('modified_subsystems', 'number_of_authors', 'age', 'number_unique_changes', 'rexp', 'lines_of_code_added', 'lines_of_code_deleted')",0.03950261297850913,0.030734374930876395,0.015367187465438198
2302,"(5, 7, 10)",[0.5292929  0.56240485 0.55502278 0.58683776 0.55428553],0.5575687616578499,"('purpose', 'rexp', 'files_churned')",0.023677613736603095,0.01842198789343716,0.00921099394671858
2303,"(0, 7, 9)",[0.54609917 0.55709929 0.56060041 0.59421296 0.52949363],0.557501092519644,"('modified_subsystems', 'rexp', 'lines_of_code_deleted')",0.027397806918822626,0.02131642457639353,0.010658212288196765
2304,"(0, 7, 9, 10)",[0.54977989 0.57556785 0.55244719 0.57298309 0.53035731],0.5562270672594021,"('modified_subsystems', 'rexp', 'lines_of_code_deleted', 'files_churned')",0.021352301474591114,0.016612815955091682,0.008306407977545841
2305,"(5, 9)",[0.51952401 0.59143025 0.56960579 0.56287411 0.53716513],0.5561198595768613,"('purpose', 'lines_of_code_deleted')",0.032377351986958,0.02519067981091511,0.012595339905457555
2306,"(7, 9, 10)",[0.54532573 0.56152518 0.55433799 0.58670478 0.53190146],0.5559590277092014,"('rexp', 'lines_of_code_deleted', 'files_churned')",0.0234947826798907,0.018279739119943014,0.009139869559971505
2307,"(0, 7, 10)",[0.54953991 0.57463774 0.55252132 0.57220507 0.53045507],0.5558718218785004,"('modified_subsystems', 'rexp', 'files_churned')",0.02085393665730763,0.016225071196154312,0.008112535598077156
2308,"(5, 6, 7, 8)",[0.46715631 0.68225979 0.4857953  0.48063113 0.66045259],0.555259024476179,"('purpose', 'experience', 'rexp', 'lines_of_code_added')",0.12240869576889092,0.09523812393391363,0.04761906196695681
2309,"(7, 9)",[0.54478157 0.55609275 0.55518556 0.58843203 0.5317375 ],0.5552458834497624,"('rexp', 'lines_of_code_deleted')",0.024142859127538437,0.01878396461349991,0.009391982306749955
2310,"(0, 5, 7, 10)",[0.52964905 0.5641428  0.55255954 0.57352267 0.55408385],0.5547915789223654,"('modified_subsystems', 'purpose', 'rexp', 'files_churned')",0.018854203538986775,0.014669210892594129,0.007334605446297064
2311,"(0, 5, 7, 11)",[0.52316652 0.56145639 0.55370518 0.57716212 0.55778874],0.5546557875829506,"('modified_subsystems', 'purpose', 'rexp', 'line_of_code_old')",0.022666907043346576,0.017635623749055324,0.008817811874527662
