Fold,Precision,Recall,F1-score,Roc_auc_score
1.0,0.5714285714285714,0.02072538860103627,0.04,0.5101382442032565
2.0,0.3333333333333333,0.0051813471502590676,0.01020408163265306,0.5024410401769551
3.0,0.42857142857142855,0.031088082901554404,0.05797101449275362,0.5149455078580794
4.0,0.5,0.0051813471502590676,0.010256410256410256,0.50251584567929
5.0,0.0,0.0,0.0,0.4997755163124813
Mean,0.36666666666666664,0.012435233160621761,0.02368630127636339,0.5059632308460124
Std,0.19954596990244725,0.01163209550292417,0.021747420140602547,0.005669041181718069
