Fold,Precision,Recall,F1-score,Roc_auc_score
1.0,0.08681022880215343,0.6683937823834197,0.1536628945801072,0.7326706305303303
2.0,0.08266129032258064,0.6373056994818653,0.14634146341463414,0.7165280554868552
3.0,0.08733333333333333,0.6787564766839378,0.15475487300649732,0.7369541772915424
4.0,0.09322602280348759,0.7202072538860104,0.16508313539192399,0.758936311767908
5.0,0.08701754385964912,0.6424870466321243,0.15327564894932014,0.723892430828783
Mean,0.08740968382424082,0.6694300518134716,0.15462360306849657,0.7337963211810838
Std,0.0033733066697503662,0.029746528693072174,0.006012534017776436,0.01441900416504576
