Fold,Precision,Recall,F1-score,Roc_auc_score
1.0,0.038461538461538464,0.5284974093264249,0.07170474516695959,0.57346612199076
2.0,0.03817365269461078,0.5284974093264249,0.0712041884816754,0.5719697880090152
3.0,0.05795981452859351,0.38860103626943004,0.10087424344317417,0.603098961947374
4.0,0.03820304209409268,0.5595854922279793,0.07152317880794704,0.5763356973262015
5.0,0.05320945945945946,0.32642487046632124,0.0915032679738562,0.5793303639970039
Mean,0.04520150144765898,0.46632124352331605,0.08136192477472248,0.5808401866540709
Std,0.00861043711623771,0.09169667069690751,0.01246450214389842,0.01141125644177134
