Fold,Precision,Recall,F1-score,Roc_auc_score
1.0,0.26515151515151514,0.3626943005181347,0.3063457330415755,0.6668327106361436
2.0,0.2446351931330472,0.29533678756476683,0.26760563380281693,0.6345006547430299
3.0,0.2532188841201717,0.30569948186528495,0.27699530516431925,0.6398316352914634
4.0,0.2627118644067797,0.32124352331606215,0.2890442890442891,0.6476017077819461
5.0,0.24472573839662448,0.3005181347150259,0.2697674418604651,0.6368648740022301
Mean,0.25408863904162765,0.31709844559585487,0.28195168058269315,0.6451263164909626
Std,0.008654886078730032,0.02439088558744005,0.014312269414000734,0.011717379207057097
