Fold,Precision,Recall,F1-score,Roc_auc_score
1.0,0.5,0.025906735751295335,0.04926108374384236,0.5125792843802115
2.0,0.5,0.010362694300518135,0.02030456852791878,0.5050317137520846
3.0,0.5,0.010362694300518135,0.02030456852791878,0.5050317137520846
4.0,0.5,0.0051813471502590676,0.010256410256410256,0.50251584567929
5.0,0.125,0.0051813471502590676,0.009950248756218907,0.5020668783042526
Mean,0.425,0.011398963730569946,0.02201537596246182,0.5054450871735846
Std,0.15,0.007614994019015061,0.014366787293222346,0.0037744211702188026
