,0
number_unique_changes,0.1920699236802001
lines_of_code_added,0.1549514604463287
files_churned,0.10918350083809536
entropy,0.10747692679997994
number_of_authors,0.08854310813101052
line_of_code_old,0.0816412415529886
modified_subsystems,0.07336130730086182
age,0.05906303907726114
rexp,0.037940285212771194
lines_of_code_deleted,0.036966719439251845
experience,0.03578407538461526
purpose,0.023018412136635462
