,importance
number_unique_changes,0.19841369547362347
lines_of_code_added,0.15850824291222834
files_churned,0.1251538237242215
entropy,0.10567442057580123
number_of_authors,0.08153202914885962
modified_subsystems,0.07422082516213584
line_of_code_old,0.07208920194002524
age,0.058060093063934025
lines_of_code_deleted,0.0369171021696421
rexp,0.035160233975185834
experience,0.03473232674899043
purpose,0.019538005105352467
