Fold,Precision,Recall,F1-score,Roc_auc_score
1.0,0.5454545454545454,0.031088082901554404,0.0588235294117647,0.5151699579553412
2.0,0.6,0.015544041450777202,0.030303030303030304,0.5076223873272141
3.0,0.5714285714285714,0.02072538860103627,0.04,0.5101382442032565
4.0,1.0,0.025906735751295335,0.0505050505050505,0.5129533678756477
5.0,0.5,0.010362694300518135,0.02030456852791878,0.50503169135858
Mean,0.6433766233766234,0.020725388601036267,0.03998723574955286,0.5101831297440078
Std,0.18131953886131266,0.007327531411259559,0.013759518691975973,0.003623241885139233
