Fold,Precision,Recall,F1-score,Roc_auc_score
1.0,0.5833333333333334,0.03626943005181347,0.06829268292682926,0.5177606315304705
2.0,0.6,0.015544041450777202,0.030303030303030304,0.5076223873272141
3.0,0.625,0.025906735751295335,0.04975124378109452,0.512728917778386
4.0,1.0,0.031088082901554404,0.06030150753768843,0.5155440414507773
5.0,0.75,0.015544041450777202,0.03045685279187817,0.5076971928295491
Mean,0.7116666666666667,0.024870466321243522,0.047821063468104136,0.5122706341832794
Std,0.15559920022645074,0.008290155440414507,0.015407605796219716,0.004088712621731892
