Fold,Precision,Recall,F1-score,Roc_auc_score
1.0,0.12316715542521994,0.43523316062176165,0.192,0.6728761942567135
2.0,0.11343283582089553,0.39378238341968913,0.1761297798377752,0.6524500724520262
3.0,0.1161764705882353,0.40932642487046633,0.18098510882016036,0.6596983762838042
4.0,0.12682215743440234,0.45077720207253885,0.19795221843003413,0.6805666914283676
5.0,0.12608695652173912,0.45077720207253885,0.1970554926387316,0.6802673798450093
Mean,0.12113711515809844,0.42797927461139895,0.18882451994534027,0.6691717428531841
Std,0.005383411805702218,0.022844982057045177,0.008760824822727525,0.011278651591829133
