Fold,Precision,Recall,F1-score,Roc_auc_score
1.0,0.6428571428571429,0.046632124352331605,0.08695652173913043,0.5229419786807297
2.0,0.3888888888888889,0.03626943005181347,0.06635071090047392,0.5173117313359471
3.0,0.3333333333333333,0.02072538860103627,0.03902439024390244,0.5097641607078203
4.0,0.7272727272727273,0.04145077720207254,0.0784313725490196,0.5205009049135175
5.0,0.3333333333333333,0.025906735751295335,0.04807692307692307,0.512205088917252
Mean,0.48513708513708514,0.03419689119170984,0.0637679837018899,0.5165447729110533
Std,0.1666479878090819,0.009609967352845288,0.01798804352518377,0.004939089112836606
