Fold,Precision,Recall,F1-score,Roc_auc_score
1.0,0.24609375,0.32642487046632124,0.2806236080178173,0.648772812309324
2.0,0.23983739837398374,0.30569948186528495,0.2687927107061503,0.6388590182033292
3.0,0.2840909090909091,0.38860103626943004,0.3282275711159738,0.6801601620072274
4.0,0.2677165354330709,0.35233160621761656,0.3042505592841164,0.6622478144826484
5.0,0.24786324786324787,0.3005181347150259,0.2716627634660422,0.6370893576897488
Mean,0.2571203681522423,0.33471502590673574,0.29071144251802,0.6534258329384556
Std,0.016405306872131806,0.0325395201411556,0.022520279618839567,0.016082753652143535
