,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_RF__max_depth,param_RF__max_features,param_RF__min_samples_leaf,param_RF__min_samples_split,param_RF__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,7.8534294128417965,0.14531319899119557,0.06092987060546875,0.00034736448372722095,,sqrt,1,2,100,"{'RF__max_depth': None, 'RF__max_features': 'sqrt', 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 2, 'RF__n_estimators': 100}",0.8602183954894369,0.8500135860335575,0.8565950003396509,0.8566554581889816,0.84468989878405,0.8536344677671354,0.005556173851060342,531
1,15.674230098724365,0.1535604070618888,0.11844124794006347,0.0007977740260346314,,sqrt,1,2,200,"{'RF__max_depth': None, 'RF__max_features': 'sqrt', 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 2, 'RF__n_estimators': 200}",0.8635490116160587,0.8586807961415667,0.8603831261463216,0.8599915087290265,0.8460549555057402,0.8577318796277427,0.006053512300282325,447
2,23.332668590545655,0.23269835995057747,0.1756438732147217,0.0014835945807672624,,sqrt,1,2,300,"{'RF__max_depth': None, 'RF__max_features': 'sqrt', 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 2, 'RF__n_estimators': 300}",0.8620647374499016,0.8608854697371102,0.8624988112220636,0.8626271992391822,0.8495465661300183,0.8595245567556553,0.00502667840704673,295
3,31.08442349433899,0.3988605012984927,0.23238677978515626,0.0012634085390860312,,sqrt,1,2,400,"{'RF__max_depth': None, 'RF__max_features': 'sqrt', 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 2, 'RF__n_estimators': 400}",0.8619998641396643,0.8612716527409822,0.8628500101895251,0.8619023843488894,0.8474580531213912,0.8590963929080905,0.005840823301301927,341
4,38.66095223426819,0.39438642864468276,0.29005703926086424,0.0021876797352536103,,sqrt,1,2,500,"{'RF__max_depth': None, 'RF__max_features': 'sqrt', 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 2, 'RF__n_estimators': 500}",0.8618524556755653,0.8623350995176958,0.8628486515861692,0.8615963589430066,0.8491094355003056,0.8595484002445485,0.005237024784133898,285
5,7.82825231552124,0.3454019434839058,0.059804677963256836,0.0004644889579893809,,sqrt,1,5,100,"{'RF__max_depth': None, 'RF__max_features': 'sqrt', 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 5, 'RF__n_estimators': 100}",0.8574363154676993,0.8525123972556211,0.8565773384960261,0.8590574689219481,0.8448532708375789,0.8540873581957747,0.005096398505553545,519
6,15.59733624458313,0.3548629506642341,0.11631259918212891,0.00048282498647120997,,sqrt,1,5,200,"{'RF__max_depth': None, 'RF__max_features': 'sqrt', 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 5, 'RF__n_estimators': 200}",0.8591175871204403,0.8572189389307792,0.8597731132395897,0.8629267712791252,0.846110658243326,0.8570294137626522,0.005760595843299442,493
7,23.141312503814696,0.156862401333316,0.17348580360412597,0.0007603402626090459,,sqrt,1,5,300,"{'RF__max_depth': None, 'RF__max_features': 'sqrt', 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 5, 'RF__n_estimators': 300}",0.8611364717070852,0.8585598804429047,0.8600424563548672,0.8634946674818286,0.8467587120440188,0.8579984376061409,0.005846032197670669,421
8,30.8837149143219,0.31096773231213287,0.22998652458190919,0.0015579979852038226,,sqrt,1,5,400,"{'RF__max_depth': None, 'RF__max_features': 'sqrt', 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 5, 'RF__n_estimators': 400}",0.8617430881054277,0.8584970450377012,0.8615783574485429,0.8646973711025067,0.8460050268324162,0.8585041777053188,0.006550199837365022,399
9,38.619998359680174,0.3371021672772828,0.28763637542724607,0.0015747266827556596,,sqrt,1,5,500,"{'RF__max_depth': None, 'RF__max_features': 'sqrt', 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 5, 'RF__n_estimators': 500}",0.8619387269886557,0.8592211806263161,0.8624492221995788,0.8644124040486381,0.8463684532300795,0.8588779974186534,0.0064708243555594265,363
10,7.688835477828979,0.06483815336945543,0.05893445014953613,0.0003706454647932322,,sqrt,1,10,100,"{'RF__max_depth': None, 'RF__max_features': 'sqrt', 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 10, 'RF__n_estimators': 100}",0.8637123836695877,0.8580653488214115,0.8590758100672509,0.8621578017797704,0.8425049249371646,0.8571032538550369,0.0075783489436428994,483
11,15.372359037399292,0.1112001572245264,0.11431293487548828,0.0005534482203103301,,sqrt,1,10,200,"{'RF__max_depth': None, 'RF__max_features': 'sqrt', 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 10, 'RF__n_estimators': 200}",0.8615471095713607,0.8609289450444942,0.8608039535357652,0.8643543237551796,0.8447615651110658,0.8584791794035731,0.006978658682093327,409
12,23.054250383377074,0.1756806838313725,0.16995558738708497,0.0008912282118020175,,sqrt,1,10,300,"{'RF__max_depth': None, 'RF__max_features': 'sqrt', 'RF__min_samples_leaf': 1, 'RF__min_samples_split': 10, 'RF__n_estimators': 300}",0.8614312886352828,0.8623035119896745,0.8596127980436112,0.8656191834793832,0.8462937300455133,0.859052102438693,0.00667007031605624,351
