,importance
number_unique_changes,0.4422550473899683
lines_of_code_added,0.1966192215624258
number_of_authors,0.06314824574486316
line_of_code_old,0.058468187776151925
age,0.047215528582774294
entropy,0.03415284818931729
modified_subsystems,0.032962563071521
experience,0.031060263522436148
rexp,0.02948568989081488
files_churned,0.027651558714112262
lines_of_code_deleted,0.025465302010938527
purpose,0.011515543544676298
