,importance
number_unique_changes,0.17488580281275393
lines_of_code_added,0.14935457958425485
files_churned,0.10155979623216284
modified_subsystems,0.09597927233000879
number_of_authors,0.0939473412001336
line_of_code_old,0.08379989025608453
age,0.07001073163996877
entropy,0.06844395286291642
rexp,0.05677906184923856
experience,0.055060233902747995
lines_of_code_deleted,0.04497113122547651
purpose,0.005208206104253354
