,importance
number_unique_changes,0.21519221775670777
lines_of_code_added,0.1597536046733924
files_churned,0.11453848531297683
entropy,0.10180347126249817
number_of_authors,0.08064617921276995
modified_subsystems,0.07619165036178348
line_of_code_old,0.07032747452199882
age,0.05704633499528154
lines_of_code_deleted,0.03376379175564045
experience,0.03312684789876917
rexp,0.03287551874137902
purpose,0.024734423506802397
