,importance
number_unique_changes,0.21289701412928405
lines_of_code_added,0.1575002318240031
files_churned,0.11621706683167382
entropy,0.10957377052273205
number_of_authors,0.08175538376214984
line_of_code_old,0.07389631362662959
modified_subsystems,0.07297523426380906
age,0.05405480237240085
lines_of_code_deleted,0.03595591970860354
experience,0.03279002235215562
rexp,0.03232127920802744
purpose,0.02006296139853089
